Index,imdb_score,genres
359,7.3,"Adventure,  Comedy,  Drama,  Fantasy,  Romance"
360,5.5,"Action,  Adventure,  Comedy,  Crime,  Thriller"
361,8.5,"Crime,  Drama,  Thriller"
362,7.5,"Adventure,  Animation,  Family,  Fantasy,  Musical,  War"
363,7.0,"Action,  Comedy"
364,7.8,"Crime,  Drama,  Mystery,  Thriller"
365,7.6,"Action,  Adventure,  Thriller"
366,7.6,"Action,  Adventure,  Crime,  Mystery,  Thriller"
368,6.8,"Action,  Adventure,  Animation,  Family,  Fantasy,  Sci-Fi"
369,5.0,"Adventure,  Animation,  Comedy,  Family,  Fantasy,  Music"
370,7.1,"Drama,  History,  Thriller,  War"
371,5.5,"Action,  Comedy"
372,5.6,"Action,  Animation,  Comedy,  Sci-Fi"
373,7.1,"Adventure,  Drama,  Sci-Fi"
374,4.9,"Comedy,  Family,  Fantasy,  Horror,  Mystery"
375,7.4,"Drama,  Mystery,  Sci-Fi,  Thriller"
376,5.7,"Action,  Horror,  Sci-Fi,  Thriller"
377,6.4,"Crime,  Mystery,  Thriller"
378,5.9,"Adventure,  Family,  Fantasy"
379,5.5,"Action,  Adventure,  Fantasy"
380,6.9,"Action,  Adventure,  Comedy,  Crime,  Mystery,  Thriller"
381,6.2,"Action,  Adventure,  Romance,  Sci-Fi,  Thriller"
382,7.0,"Action,  Crime,  Thriller"
383,5.6,"Adventure,  Sci-Fi,  Thriller"
384,7.0,"Adventure,  Animation,  Comedy,  Family,  Musical"
385,6.8,"Comedy,  Drama,  Sci-Fi"
386,5.4,"Action,  Drama,  Sci-Fi,  Thriller"
387,6.1,"Action,  Crime,  Drama,  Thriller"
388,6.7,"Drama,  History,  Thriller,  War"
389,4.3,"Action,  Adventure,  Sci-Fi"
390,6.9,"Adventure,  Fantasy"
391,8.0,"Biography,  Drama,  Sport"
392,4.4,"Action,  Family,  Fantasy,  Musical"
393,7.3,"Drama,  History,  Sport"
394,6.3,"Action,  Adventure,  Drama,  Thriller"
395,6.7,"Action,  Crime,  Thriller"
396,7.7,"Adventure,  Drama,  Romance"
397,6.5,"Animation,  Comedy,  Family,  Music,  Romance"
398,7.8,"Action,  Mystery,  Thriller"
399,6.4,"Action,  Adventure,  Drama,  Thriller"
400,7.8,"Crime,  Thriller"
401,5.8,"Action,  Adventure,  Romance"
402,7.1,"Animation,  Comedy,  Family,  Fantasy"
403,7.1,"Animation,  Comedy,  Family,  Fantasy,  Musical,  Romance"
405,6.8,"Action,  Crime,  Mystery,  Thriller"
406,4.8,"Adventure,  Comedy,  Family"
407,6.2,"Action,  Comedy,  Crime"
408,6.9,"Comedy,  Romance"
409,7.3,"Action,  Crime,  Drama,  Mystery,  Thriller"
410,6.6,"Comedy,  Drama,  Romance"
411,6.9,"Crime,  Thriller"
412,6.2,"Adventure,  Animation,  Comedy,  Family"
413,6.7,"Adventure,  Mystery,  Sci-Fi"
414,7.6,"Drama,  History,  War"
415,6.7,"Action,  Adventure,  Comedy,  Thriller"
416,6.2,"Action,  Adventure,  Comedy,  Fantasy"
417,7.3,"Drama,  Romance"
418,6.0,"Action,  Crime,  Thriller"
419,7.1,"Adventure,  Animation,  Comedy,  Family,  Fantasy"
420,7.1,"Drama,  Fantasy,  Romance"
421,5.5,"Action,  Drama,  Thriller"
423,5.6,"Adventure,  Comedy,  Drama,  Family,  Fantasy"
424,7.5,"Action,  Comedy,  Fantasy,  Romance"
425,5.4,"Action,  Adventure,  Sci-Fi,  Thriller"
426,4.3,"Comedy,  Romance,  Sci-Fi"
427,4.9,"Adventure,  Comedy,  Mystery"
428,7.1,"Action,  Sci-Fi"
429,6.4,"Comedy,  Drama,  Fantasy,  Romance"
431,4.3,"Action,  Comedy,  Family,  Fantasy"
432,6.1,"Action,  Adventure,  Sci-Fi,  Thriller"
433,7.0,"Action,  Adventure,  Fantasy,  Horror,  Sci-Fi"
434,7.7,"Crime,  Drama,  History,  Mystery,  Thriller"
435,5.9,"Action,  Mystery,  Sci-Fi,  Thriller"
436,6.7,"Comedy,  Drama"
437,6.5,"Action,  Adventure,  Thriller"
438,7.1,"Action,  Adventure,  Thriller"
439,7.3,"Adventure,  Drama,  Sci-Fi,  Thriller"
440,6.5,Comedy
441,7.0,Action
442,6.8,"Adventure,  Animation,  Comedy,  Family"
443,7.2,"Adventure,  Animation,  Comedy,  Drama,  Family,  Fantasy,  Sci-Fi"
445,6.1,"Action,  Drama,  Romance,  Sci-Fi,  Thriller"
446,6.7,"Action,  Comedy,  Crime,  Thriller"
447,6.4,"Comedy,  Crime,  Sport"
448,4.4,"Adventure,  Animation,  Comedy,  Family,  Fantasy,  Music"
449,5.4,Comedy
450,6.5,"Action,  Adventure,  Comedy"
451,6.7,"Comedy,  Drama,  Romance"
452,8.1,"Mystery,  Thriller"
453,5.6,"Comedy,  Drama,  Romance"
454,6.3,"Adventure,  Animation,  Comedy,  Family,  Sci-Fi"
455,7.3,"Action,  Crime,  Sci-Fi,  Thriller"
456,6.1,"Comedy,  Family,  Fantasy,  Romance"
457,7.7,"Crime,  Drama,  Thriller"
458,6.4,"Comedy,  Romance"
460,6.8,"Action,  Crime,  Thriller"
461,6.6,"Action,  Mystery,  Thriller"
462,7.2,"Adventure,  Drama,  History,  Romance,  War"
463,6.9,"Action,  Adventure,  Drama,  Thriller"
464,5.2,"Comedy,  Family,  Sci-Fi"
465,4.9,"Fantasy,  Horror,  Mystery,  Thriller"
466,6.3,"Adventure,  Animation,  Comedy,  Family,  Fantasy,  Sci-Fi,  Sport"
467,5.6,"Adventure,  Comedy,  Crime,  Family,  Mystery"
468,5.5,"Drama,  Sci-Fi,  Thriller"
469,6.7,"Action,  Crime,  Mystery,  Romance,  Thriller"
470,7.6,"Action,  Drama,  War"
471,5.7,"Action,  Adventure,  Comedy,  Romance"
472,4.6,"Adventure,  Animation,  Comedy,  Family"
473,7.0,"Adventure,  Animation,  Family,  Western"
474,5.2,"Comedy,  Family,  Romance"
475,5.1,"Action,  Adventure,  Family,  Sci-Fi,  Thriller"
476,6.6,"Drama,  Mystery,  Sci-Fi,  Thriller"
478,6.7,"Animation,  Comedy,  Family,  Fantasy"
480,7.3,"Animation,  Family,  Fantasy,  Music"
481,5.9,"Action,  Adventure,  Sci-Fi"
482,5.6,"Action,  Adventure,  Family,  Fantasy,  Thriller"
483,6.5,"Action,  Crime,  Thriller"
484,5.9,"Action,  Adventure,  Western"
485,7.0,"Drama,  Fantasy,  Romance"
486,5.3,"Comedy,  Fantasy"
487,5.9,"Action,  Adventure,  Comedy,  Fantasy,  Thriller"
488,6.3,"Action,  Comedy,  Sci-Fi"
491,6.3,"Action,  Sci-Fi,  Thriller"
492,7.3,"Drama,  History,  Thriller"
493,5.8,"Action,  Adventure,  Drama,  Thriller"
494,5.2,"Adventure,  Animation,  Family"
495,2.4,"Action,  Adventure,  Sci-Fi"
496,5.7,"Adventure,  Animation,  Comedy,  Family,  Fantasy,  Sci-Fi"
497,5.8,"Drama,  Musical,  Romance"
498,5.6,"Action,  Adventure,  Sci-Fi"
