imdb_id,cast
tt0146309,"Kevin Costner,  Bruce Greenwood,  Steven Culp,  Dylan Baker,  Shawn Driscoll, Kevin Costner,  Bruce Greenwood,  Steven Culp,  Dylan Baker,  Shawn Driscoll, Kevin Costner,  Bruce Greenwood,  Steven Culp,  Dylan Baker,  Shawn Driscoll, Kevin Costner,  Bruce Greenwood,  Steven Culp,  Dylan Baker,  Shawn Driscoll, Kevin Costner,  Bruce Greenwood,  Steven Culp,  Dylan Baker,  Shawn Driscoll"
tt0146316,"Angelina Jolie,  Jon Voight,  Iain Glen,  Noah Taylor,  Daniel Craig, Angelina Jolie,  Jon Voight,  Iain Glen,  Noah Taylor,  Daniel Craig, Angelina Jolie,  Jon Voight,  Iain Glen,  Noah Taylor,  Daniel Craig, Angelina Jolie,  Jon Voight,  Iain Glen,  Noah Taylor,  Daniel Craig, Angelina Jolie,  Jon Voight,  Iain Glen,  Noah Taylor,  Daniel Craig"
tt0146882,"John Cusack,  Iben Hjejle,  Todd Louiso,  Jack Black,  Lisa Bonet, John Cusack,  Iben Hjejle,  Todd Louiso,  Jack Black,  Lisa Bonet, John Cusack,  Iben Hjejle,  Todd Louiso,  Jack Black,  Lisa Bonet, John Cusack,  Iben Hjejle,  Todd Louiso,  Jack Black,  Lisa Bonet, John Cusack,  Iben Hjejle,  Todd Louiso,  Jack Black,  Lisa Bonet"
tt0146984,"Matt Damon,  Bruce McGill,  Charlize Theron,  Will Smith,  Joel Gretsch, Matt Damon,  Bruce McGill,  Charlize Theron,  Will Smith,  Joel Gretsch, Matt Damon,  Bruce McGill,  Charlize Theron,  Will Smith,  Joel Gretsch, Matt Damon,  Bruce McGill,  Charlize Theron,  Will Smith,  Joel Gretsch, Matt Damon,  Bruce McGill,  Charlize Theron,  Will Smith,  Joel Gretsch"
tt0157472,"Jesse Bradford,  Paula Garc̩s,  Robin Thomas,  French Stewart,  Michael Biehn, Jesse Bradford,  Paula Garc̩s,  Robin Thomas,  French Stewart,  Michael Biehn, Jesse Bradford,  Paula Garc̩s,  Robin Thomas,  French Stewart,  Michael Biehn, Jesse Bradford,  Paula Garc̩s,  Robin Thomas,  French Stewart,  Michael Biehn, Jesse Bradford,  Paula Garc̩s,  Robin Thomas,  French Stewart,  Michael Biehn"
tt0158622,"Mark Addy,  Stephen Baldwin,  Kristen Johnston,  Jane Krakowski,  Joan Collins, Mark Addy,  Stephen Baldwin,  Kristen Johnston,  Jane Krakowski,  Joan Collins, Mark Addy,  Stephen Baldwin,  Kristen Johnston,  Jane Krakowski,  Joan Collins, Mark Addy,  Stephen Baldwin,  Kristen Johnston,  Jane Krakowski,  Joan Collins, Mark Addy,  Stephen Baldwin,  Kristen Johnston,  Jane Krakowski,  Joan Collins"
tt0159273,"Owen Wilson,  Gene Hackman,  Gabriel Macht,  Charles Malik Whitfield,  David Keith, Owen Wilson,  Gene Hackman,  Gabriel Macht,  Charles Malik Whitfield,  David Keith, Owen Wilson,  Gene Hackman,  Gabriel Macht,  Charles Malik Whitfield,  David Keith, Owen Wilson,  Gene Hackman,  Gabriel Macht,  Charles Malik Whitfield,  David Keith, Owen Wilson,  Gene Hackman,  Gabriel Macht,  Charles Malik Whitfield,  David Keith"
tt0159365,"Jude Law,  Nicole Kidman,  Ren̩e Zellweger,  Eileen Atkins,  Brendan Gleeson, Jude Law,  Nicole Kidman,  Ren̩e Zellweger,  Eileen Atkins,  Brendan Gleeson, Jude Law,  Nicole Kidman,  Ren̩e Zellweger,  Eileen Atkins,  Brendan Gleeson, Jude Law,  Nicole Kidman,  Ren̩e Zellweger,  Eileen Atkins,  Brendan Gleeson, Jude Law,  Nicole Kidman,  Ren̩e Zellweger,  Eileen Atkins,  Brendan Gleeson"
tt0160009,"Wesley Snipes,  Donald Sutherland,  Maury Chaykin,  Anne Archer,  Michael Biehn, Wesley Snipes,  Donald Sutherland,  Maury Chaykin,  Anne Archer,  Michael Biehn, Wesley Snipes,  Donald Sutherland,  Maury Chaykin,  Anne Archer,  Michael Biehn, Wesley Snipes,  Donald Sutherland,  Maury Chaykin,  Anne Archer,  Michael Biehn, Wesley Snipes,  Donald Sutherland,  Maury Chaykin,  Anne Archer,  Michael Biehn"
tt0160127,"Cameron Diaz,  Lucy Liu,  Drew Barrymore,  Bill Murray,  John Forsythe, Cameron Diaz,  Lucy Liu,  Drew Barrymore,  Bill Murray,  John Forsythe, Cameron Diaz,  Lucy Liu,  Drew Barrymore,  Bill Murray,  John Forsythe, Cameron Diaz,  Lucy Liu,  Drew Barrymore,  Bill Murray,  John Forsythe, Cameron Diaz,  Lucy Liu,  Drew Barrymore,  Bill Murray,  John Forsythe"
