Kentucky,Vermont,Nevada,Ohio,Wisconsin,Oregon,Colorado,Alaska,Maine,Illinois,Mississippi,Indiana,California,Utah,South Dakota,Rhode Island,Iowa,Virginia,Texas,New Jersey,Hawaii,Arizona,South Carolina,Arkansas,Tennessee,Alabama,Pennsylvania,Idaho,North Dakota,West Virginia,Montana,Oklahoma,Nebraska,Connecticut,Florida,Minnesota,Maryland,Washington,North Carolina,Michigan,New York,Delaware
5.10%,5.40%,30.00%,6.70%,8.70%,15.10%,16.90%,16.20%,6.60%,22.70%,3.90%,8.30%,43.90%,14.70%,6.50%,21.40%,7.40%,15.40%,35.00%,30.50%,25.20%,26.90%,6.90%,7.20%,6.90%,5.20%,10.60%,10.60%,5.60%,2.50%,4.10%,9.80%,10.80%,21.90%,28.10%,11.00%,17.20%,18.90%,11.20%,9.20%,30.40%,12.90%
84.20%,91.80%,85.10%,89.10%,91.00%,89.80%,90.70%,92.10%,91.60%,87.90%,82.30%,87.80%,81.80%,91.20%,90.90%,86.20%,91.50%,88.30%,81.90%,88.60%,91.00%,86.00%,85.60%,84.80%,85.50%,84.30%,89.20%,89.50%,91.70%,85.00%,92.80%,86.90%,90.70%,89.90%,86.90%,92.40%,89.40%,90.40%,85.80%,89.60%,85.60%,88.40%
22.30%,36.00%,23.00%,26.10%,27.80%,30.80%,38.10%,28.00%,29.00%,32.30%,20.70%,24.10%,31.40%,31.10%,27.00%,31.90%,26.70%,36.30%,27.60%,36.80%,30.80%,27.50%,25.80%,21.10%,24.90%,23.50%,28.60%,25.90%,27.70%,19.20%,29.50%,24.10%,29.30%,37.60%,27.30%,33.70%,37.90%,32.90%,28.40%,26.90%,34.20%,30.00%
12.90%,10.00%,9.00%,9.90%,8.20%,10.20%,7.20%,8.10%,11.90%,7.10%,11.90%,9.70%,6.80%,6.60%,8.40%,8.90%,7.90%,7.70%,8.10%,6.60%,6.50%,8.20%,10.30%,12.30%,11.20%,11.80%,9.50%,9.00%,6.80%,14.40%,9.10%,11.30%,7.30%,7.10%,8.50%,7.10%,7.10%,8.90%,9.60%,10.30%,7.40%,8.50%
6.00%,4.50%,13.10%,6.60%,6.20%,7.30%,8.60%,15.50%,9.90%,7.40%,13.90%,9.40%,8.30%,9.70%,10.30%,5.10%,5.00%,10.10%,18.60%,9.20%,4.20%,11.90%,11.90%,9.30%,10.60%,10.70%,6.70%,11.80%,8.10%,6.50%,9.80%,16.10%,9.90%,5.70%,15.30%,4.80%,7.00%,6.90%,12.20%,6.30%,7.00%,6.60%
59.10%,66.60%,64.00%,63.30%,67.10%,62.10%,67.60%,67.70%,63.40%,65.60%,57.50%,63.90%,63.10%,67.70%,68.60%,65.50%,67.60%,64.70%,64.30%,65.90%,61.50%,59.30%,60.10%,58.50%,61.00%,58.00%,62.80%,62.60%,69.30%,53.90%,63.60%,61.10%,69.90%,67.20%,58.80%,70.00%,67.90%,63.50%,61.80%,61.20%,63.30%,63.10%
54.90%,63.60%,59.30%,59.00%,63.50%,57.60%,62.60%,65.00%,59.90%,60.70%,53.70%,59.00%,57.20%,59.50%,64.60%,61.60%,63.30%,60.80%,57.70%,60.60%,58.80%,54.50%,56.20%,53.30%,56.30%,53.00%,58.30%,56.80%,65.00%,49.20%,59.50%,55.70%,65.20%,62.80%,54.70%,66.20%,64.10%,58.50%,57.70%,57.10%,58.70%,59.40%
"7,500,115","1,564,272","27,481,505","20,652,777","10,303,256","8,466,788","13,617,654","2,221,335","2,901,347","27,937,381","6,999,175","13,076,602","90,830,372","4,789,281","1,873,699","2,481,314","5,468,687","17,795,901","54,480,811","19,673,558","9,536,706","13,996,635","9,763,818","4,307,264","12,499,013","7,576,462","23,504,192","2,680,225","2,045,123","4,036,333","2,420,455","7,121,153","3,094,498","9,542,068","49,817,925","11,722,627","12,516,782","14,297,278","18,622,258","17,962,356","49,285,508","2,148,437"
"26,264,745","4,457,996","13,928,514","80,915,693","40,680,625","24,956,816","29,488,161","6,375,483","10,297,043","83,431,778","16,630,587","42,493,117","248,953,592","14,521,857","6,211,731","8,223,005","18,583,828","47,705,003","145,035,130","60,375,232","8,136,947","37,055,881","22,941,292","15,792,628","42,383,683","26,039,632","96,329,248","7,895,614","5,418,355","12,259,395","6,469,475","22,795,438","12,869,418","29,573,119","124,061,425","40,403,572","40,821,901","43,966,889","55,227,505","63,018,786","155,666,053","7,003,251"
"129,284,438","9,315,494","14,719,141","313,629,976","177,728,926","51,349,948","50,447,098",D,"16,044,543","281,037,755","66,441,608","242,763,842","512,303,164","50,046,429","16,882,647","11,262,158","116,668,830","96,389,872","702,603,073","108,854,971",D,"51,243,473","99,160,840","62,712,925","139,960,482","124,809,759","231,396,178","20,201,432","14,427,360","24,553,072","11,535,236","74,295,394","57,499,177","55,160,095","96,924,106","123,076,309","39,532,989","131,530,601","202,344,646","238,892,383","148,879,931","22,597,384"
"71,745,899","6,450,076","19,841,701","155,426,023","77,066,883","48,325,261","77,034,971","5,216,303","12,961,262","295,456,992","28,302,952","81,173,422","666,652,186","30,927,885","20,411,059","22,310,389","62,318,301","86,613,641","691,242,607","288,467,844","9,607,982","69,437,272","45,520,900","31,256,110","111,718,421","57,746,565","191,170,147","17,906,012","28,150,837","14,295,437","12,645,824","71,892,946","42,618,995","161,962,244","252,626,608","104,485,117","60,734,191","83,313,366","105,275,586","115,704,903","341,734,970","5,628,914"
"54,869,978","9,933,751","38,234,170","153,553,997","78,201,822","49,481,054","67,815,200","10,474,275","21,521,714","166,634,514","37,053,190","85,857,962","481,800,461","38,024,486","13,791,827","12,063,865","44,905,624","110,002,385","356,116,376","133,665,728","18,901,745","84,716,542","58,093,824","36,815,256","91,641,605","58,564,965","178,794,945","20,444,278","15,519,816","22,637,923","15,623,573","50,256,231","30,470,717","51,632,467","273,867,145","78,898,182","76,379,707","118,924,049","120,691,007","119,302,046","251,167,736","14,456,001"
"$12,526 ","$15,868 ","$13,858 ","$13,301 ","$13,656 ","$12,690 ","$13,073 ","$14,320 ","$16,192 ","$12,942 ","$12,413 ","$13,133 ","$12,665 ","$13,317 ","$16,550 ","$11,486 ","$14,607 ","$13,438 ","$13,666 ","$15,079 ","$13,576 ","$12,927 ","$12,298 ","$12,483 ","$14,194 ","$12,145 ","$14,008 ","$12,812 ","$22,183 ","$12,201 ","$15,544 ","$13,174 ","$16,422 ","$14,381 ","$14,177 ","$14,667 ","$12,980 ","$17,243 ","$12,376 ","$12,071 ","$12,834 ","$15,763 "
23.0,22.5,23.9,23.2,21.9,22.9,24.8,19.0,23.6,28.4,24.1,23.3,28.0,21.6,16.9,24.2,18.9,27.9,25.6,31.0,26.8,24.8,23.9,21.6,24.5,24.4,26.3,20.2,17.2,25.6,18.1,21.3,18.3,25.4,26.4,23.1,32.3,26.3,23.9,24.2,32.3,25.5
"$43,740 ","$55,176 ","$51,847 ","$49,429 ","$53,357 ","$51,243 ","$60,629 ","$72,515 ","$49,331 ","$57,574 ","$39,665 ","$49,255 ","$61,818 ","$60,727 ","$50,957 ","$56,852 ","$53,183 ","$65,015 ","$53,207 ","$72,093 ","$69,515 ","$50,255 ","$45,483 ","$41,371 ","$45,219 ","$43,623 ","$53,599 ","$47,583 ","$57,181 ","$41,751 ","$47,169 ","$46,879 ","$52,997 ","$70,331 ","$47,507 ","$61,492 ","$74,551 ","$61,062 ","$46,868 ","$49,576 ","$59,269 ","$60,509 "
"$24,063 ","$29,894 ","$26,541 ","$26,953 ","$28,340 ","$27,684 ","$32,217 ","$33,413 ","$27,655 ","$30,494 ","$21,057 ","$25,346 ","$30,318 ","$24,686 ","$26,747 ","$31,118 ","$27,950 ","$34,152 ","$26,999 ","$36,582 ","$29,822 ","$25,848 ","$24,604 ","$22,798 ","$25,227 ","$24,091 ","$29,291 ","$23,399 ","$32,035 ","$23,450 ","$26,381 ","$25,032 ","$27,882 ","$38,803 ","$26,829 ","$32,157 ","$36,897 ","$31,762 ","$25,920 ","$26,607 ","$33,236 ","$30,554 "
18.50%,11.90%,13.80%,14.60%,11.80%,13.30%,11.00%,9.90%,12.50%,13.00%,20.80%,14.10%,14.30%,10.20%,13.30%,12.80%,11.80%,11.00%,15.60%,10.40%,9.30%,16.40%,15.30%,17.20%,15.80%,17.10%,12.90%,14.40%,10.70%,17.90%,13.30%,16.30%,11.40%,9.80%,14.70%,9.90%,9.70%,11.30%,15.40%,15.00%,14.70%,11.70%
"91,845","21,121","63,383","251,668","139,500","112,393","161,737","20,907","40,801","318,266","58,662","145,116","908,120","75,463","26,511","28,387","80,952","197,384","569,091","230,961","31,915","136,352","103,973","65,175","133,344","98,540","299,695","44,757","24,848","36,993","37,270","93,093","53,719","89,232","532,830","148,666","137,204","182,913","223,209","219,627","540,298","24,852"
"1,579,477","266,363","1,129,965","4,719,985","2,503,532","1,498,727","2,253,795","267,999","500,549","5,427,549","926,391","2,660,503","14,325,377","1,203,954","353,540","425,748","1,338,418","3,198,718","10,239,710","3,558,619","523,677","2,295,186","1,662,251","1,003,113","2,507,205","1,634,391","5,306,896","546,524","365,893","565,435","375,041","1,370,988","870,279","1,503,102","7,777,990","2,612,314","2,239,817","2,602,408","3,670,284","3,725,280","7,998,994","397,385"
"63,741,066","10,615,093","46,595,673","213,161,303","112,406,494","71,006,598","117,539,555","15,643,303","20,413,159","289,183,546","33,948,151","113,315,432","856,954,246","51,453,266","13,812,997","19,704,826","55,079,743","165,788,897","521,095,797","209,072,015","22,068,393","102,671,393","66,120,263","39,451,191","110,481,280","67,370,353","257,626,942","21,119,617","17,184,756","22,159,084","14,227,065","59,124,620","36,967,924","92,555,072","337,074,525","133,092,716","118,496,858","149,258,789","164,936,258","174,873,962","513,083,321","21,305,227"
