30.00%,9.20%,6.90%,5.40%,6.90%,4.10%,10.60%,9.80%,2.50%,10.60%,26.90%,22.70%,8.70%,15.40%,6.70%,8.50%,5.20%,21.40%,10.80%,35.00%,16.20%,8.30%,21.90%,16.90%,35.70%,7.40%,25.20%,11.20%,6.00%,6.50%,17.20%,22.50%,18.90%,11.30%,3.90%
23.00%,26.90%,24.90%,36.00%,25.80%,29.50%,28.60%,24.10%,19.20%,25.90%,27.50%,32.30%,27.80%,36.30%,26.10%,22.50%,23.50%,31.90%,29.30%,27.60%,28.00%,24.10%,37.60%,38.10%,26.30%,26.70%,30.80%,28.40%,27.10%,27.00%,37.90%,40.50%,32.90%,31.00%,20.70%
78.80%,85.30%,84.70%,86.50%,84.70%,83.60%,88.00%,82.60%,88.20%,82.40%,81.30%,86.80%,85.80%,84.40%,85.30%,86.30%,85.30%,86.60%,83.70%,83.30%,80.90%,85.00%,87.80%,80.80%,85.70%,84.80%,85.10%,84.70%,83.90%,83.40%,86.60%,87.10%,82.50%,83.50%,86.10%
23.00%,22.10%,22.60%,19.00%,22.10%,21.80%,20.90%,24.50%,20.50%,26.00%,23.50%,22.90%,22.30%,22.20%,22.50%,23.80%,22.60%,19.70%,24.80%,26.20%,25.20%,23.80%,21.10%,22.80%,23.60%,23.30%,21.60%,22.70%,22.80%,24.60%,22.40%,20.20%,22.40%,24.60%,24.10%
"14,719,141","238,892,383","139,960,482","9,315,494","99,160,840","11,535,236","231,396,178","74,295,394","24,553,072","20,201,432","51,243,473","281,037,755","177,728,926","96,389,872","313,629,976","271,191,050","124,809,759","11,262,158","57,499,177","702,603,073",D,"242,763,842","55,160,095","50,447,098","29,102,352","116,668,830",D,"202,344,646","111,535,362","16,882,647","39,532,989","81,927,799","131,530,601","86,076,260","66,441,608"
"27,481,505","17,962,356","12,499,013","1,564,272","9,763,818","2,420,455","23,504,192","7,121,153","4,036,333","2,680,225","13,996,635","27,937,381","10,303,256","17,795,901","20,652,777","11,697,949","7,576,462","2,481,314","3,094,498","54,480,811","2,221,335","13,076,602","9,542,068","13,617,654","4,349,672","5,468,687","9,536,706","18,622,258","12,430,310","1,873,699","12,516,782","17,508,975","14,297,278","4,873,411","6,999,175"
"1,173,814","4,532,233","2,812,133","322,539","2,137,683","482,825","5,567,315","1,664,378","881,917","667,796","2,844,526","5,296,715","2,624,358","3,364,939","5,127,508","1,964,981","2,171,853","463,388","796,793","9,977,436","306,967","2,795,541","1,487,891","2,212,898","901,388","1,336,417","519,508","4,327,528","2,712,729","363,438","2,378,814","2,808,254","2,885,677","1,233,215","1,274,719"
9.60%,14.20%,17.10%,1.30%,27.50%,0.60%,11.80%,7.80%,3.60%,0.80%,4.90%,14.70%,6.60%,19.80%,12.80%,32.60%,26.80%,8.10%,5.00%,12.60%,3.80%,9.70%,11.80%,4.50%,2.50%,3.70%,2.20%,22.20%,11.80%,2.00%,30.70%,8.60%,4.10%,6.20%,37.70%
24.6,174.8,153.90,67.9,153.90,6.8,283.90,54.70,77.1,19,56.3,231.1,105,202.6,282.30,104.9,94.4,"1,018.10",23.8,96.3,1.2,181,738.1,48.5,17.00,54.5,211.8,196.10,87.1,10.70,594.8,839.4,101.2,34.9,63.2
Nevada,Michigan,Tennessee,Vermont,South Carolina,Montana,Pennsylvania,Oklahoma,West Virginia,Idaho,Arizona,Illinois,Wisconsin,Virginia,Ohio,Louisiana,Alabama,Rhode Island,Nebraska,Texas,Alaska,Indiana,Connecticut,Colorado,New Mexico,Iowa,Hawaii,North Carolina,Missouri,South Dakota,Maryland,Massachusetts,Washington,Kansas,Mississippi
"82,508","306,986","195,694","23,417","131,856","35,449","304,803","105,168","39,065","45,121","182,425","417,500","133,859","236,290","306,824","151,114","137,630","30,484","51,936","866,678","22,141","162,798","106,678","194,508","59,044","82,345","44,453","287,058","162,616","23,722","209,119","199,210","187,677","77,194","89,159"
"$51,847 ","$49,576 ","$45,219 ","$55,176 ","$45,483 ","$47,169 ","$53,599 ","$46,879 ","$41,751 ","$47,583 ","$50,255 ","$57,574 ","$53,357 ","$65,015 ","$49,429 ","$45,047 ","$43,623 ","$56,852 ","$52,997 ","$53,207 ","$72,515 ","$49,255 ","$70,331 ","$60,629 ","$44,963 ","$53,183 ","$69,515 ","$46,868 ","$48,173 ","$50,957 ","$74,551 ","$68,563 ","$61,062 ","$52,205 ","$39,665 "
85.10%,89.60%,85.50%,91.80%,85.60%,92.80%,89.20%,86.90%,85.00%,89.50%,86.00%,87.90%,91.00%,88.30%,89.10%,83.40%,84.30%,86.20%,90.70%,81.90%,92.10%,87.80%,89.90%,90.70%,84.20%,91.50%,91.00%,85.80%,88.40%,90.90%,89.40%,89.80%,90.40%,90.20%,82.30%
