city,ranking,rating,reviews_number,cuisine_style
Amsterdam,575.0,4.0,262.0," Malaysian,  Minority Chinese,  Vegan Options, Singaporean,  Gluten Free Options,  Vegetarian Friendly,  Asian"
Amsterdam,577.0,4.5,62.0,"Mexican,  Vegan Options,  Latin,  Vegetarian Friendly"
Amsterdam,578.0,4.5,126.0," Vegan Options, Fast Food,  Middle Eastern,  Vegetarian Friendly"
Amsterdam,579.0,4.0,467.0,"Dutch,  Gluten Free Options,  International,  Vegetarian Friendly,  European"
Amsterdam,580.0,4.0,118.0," Mediterranean,  European,  Vegan Options, Italian,  Vegetarian Friendly,  Pizza"
Amsterdam,581.0,4.0,186.0," Indonesian, Asian,  Vegetarian Friendly"
Amsterdam,584.0,4.5,166.0," Gluten Free Options, Asian,  Vegetarian Friendly,  Thai"
Amsterdam,586.0,4.0,116.0," Bar,  Barbecue,  Pub, American"
Amsterdam,589.0,4.0,258.0," Vegetarian Friendly,  Gluten Free Options"
Amsterdam,590.0,4.5,157.0,"Dutch,  Gluten Free Options,  Vegetarian Friendly"
Amsterdam,593.0,4.0,171.0,"American,  Gluten Free Options,  Bar,  European"
Amsterdam,597.0,5.0,42.0," Dutch,  European,  Healthy,  Vegetarian Friendly,  Vegan Options,  French,  Fusion, Cafe"
Amsterdam,601.0,4.0,140.0,"International,  European,  Vegetarian Friendly,  Gluten Free Options"
Amsterdam,604.0,4.5,132.0," Gluten Free Options, Dutch,  Vegetarian Friendly,  Cafe,  European"
Amsterdam,612.0,4.0,226.0," Cafe,  European, Dutch,  Vegetarian Friendly"
Amsterdam,615.0,4.5,34.0," Vegetarian Friendly,  Vegan Options,  International,  Gluten Free Options"
Amsterdam,616.0,4.0,195.0," European,  Vegetarian Friendly,  Mediterranean"
Amsterdam,617.0,4.5,134.0," Pizza,  Vegetarian Friendly,  European,  Vegan Options"
Amsterdam,619.0,4.0,183.0," Gluten Free Options,  Vegan Options,  Vegetarian Friendly"
Amsterdam,623.0,4.0,270.0," Vegetarian Friendly, Italian,  European,  Pizza"
Amsterdam,625.0,4.0,315.0,"Dutch,  European"
Amsterdam,626.0,4.5,94.0," European,  Cafe, Dutch,  Vegetarian Friendly"
Amsterdam,629.0,4.0,226.0," Central European,  Vegetarian Friendly,  Pub,  Bar, Dutch,  European"
Amsterdam,633.0,5.0,82.0," Gluten Free Options,  Vegan Options, European,  Vegetarian Friendly"
Amsterdam,635.0,4.5,109.0,"Dutch,  Bar,  European,  Vegetarian Friendly"
Amsterdam,637.0,4.5,105.0," Middle Eastern,  Moroccan,  Halal, African,  Mediterranean"
Amsterdam,642.0,4.0,246.0," European,  Mediterranean,  Vegetarian Friendly"
Amsterdam,643.0,4.0,148.0," Cafe,  Pub, Dutch,  Bar"
Amsterdam,647.0,4.5,64.0,"Dutch,  European,  Bar,  Cafe,  Pub,  Vegetarian Friendly"
Amsterdam,655.0,4.5,79.0," Pub,  Fusion, Bar,  Asian,  Cafe"
Amsterdam,656.0,4.5,115.0," Contemporary, French,  European,  Vegetarian Friendly,  Gluten Free Options"
Amsterdam,657.0,4.5,198.0," Vegan Options, Indian,  Vegetarian Friendly,  Gluten Free Options,  Asian"
Amsterdam,659.0,4.0,177.0," Bar,  European, Dutch,  Vegetarian Friendly,  Pub"
Amsterdam,661.0,5.0,26.0," European,  French,  Fusion, Dutch"
Amsterdam,666.0,4.5,150.0,"International,  European"
Amsterdam,668.0,4.5,86.0," European,  International"
Amsterdam,670.0,4.0,336.0," Gluten Free Options,  European, Dutch,  Bar"
Amsterdam,673.0,4.0,326.0," Seafood,  Gluten Free Options,  European, Dutch,  Vegetarian Friendly"
Amsterdam,674.0,4.5,71.0," Mediterranean,  European,  Vegetarian Friendly, Bar,  Spanish"
Amsterdam,685.0,4.5,58.0,"Dutch,  European,  Vegetarian Friendly"
Amsterdam,688.0,4.0,187.0," Gluten Free Options,  Healthy,  European, Dutch,  Central European,  International,  Vegetarian Friendly"
Amsterdam,693.0,4.0,409.0,"Indian,  Vegan Options,  Gluten Free Options,  Asian,  Halal,  Vegetarian Friendly"
Amsterdam,699.0,4.5,58.0," Fast Food, Chinese,  Asian,  Vegetarian Friendly,  Vegan Options"
Amsterdam,700.0,4.0,248.0,"Asian,  Vietnamese,  Vegetarian Friendly"
Amsterdam,701.0,4.0,163.0," Contemporary,  Vegetarian Friendly,  Dutch,  Vegan Options,  Gluten Free Options,  European,  Cafe, French"
Amsterdam,702.0,5.0,23.0,"American,  International,  Vegetarian Friendly"
Amsterdam,709.0,5.0,23.0,unknown
Amsterdam,710.0,4.5,93.0," Vegetarian Friendly, Cafe,  Gluten Free Options"
Amsterdam,713.0,4.5,102.0,"European,  Vegan Options,  Vegetarian Friendly"
Amsterdam,719.0,4.5,50.0," Mediterranean,  Vegetarian Friendly,  European, Italian"
Amsterdam,722.0,4.5,128.0,"African,  Ethiopian,  Vegetarian Friendly,  Vegan Options"
Amsterdam,723.0,4.0,131.0," Dutch,  Vegetarian Friendly, Seafood,  European"
Amsterdam,728.0,4.5,74.0," European, Italian,  Vegetarian Friendly"
Amsterdam,729.0,4.5,132.0," International, European,  Gluten Free Options"
Amsterdam,732.0,4.0,294.0," Vegetarian Friendly,  European, Italian,  Mediterranean"
Amsterdam,733.0,4.0,184.0," Asian,  Vegan Options, Indian,  Vegetarian Friendly,  Gluten Free Options"
Amsterdam,738.0,4.0,436.0," European, Bar"
Amsterdam,739.0,4.0,173.0," Gluten Free Options, Dutch,  Vegetarian Friendly,  European,  Grill,  Cafe,  Fusion"
Amsterdam,744.0,4.5,215.0," Vegan Options,  Vegetarian Friendly,  Gluten Free Options,  Asian, Indian"
Amsterdam,746.0,4.0,129.0," Vegetarian Friendly, Street Food,  Fast Food,  European,  American"
Amsterdam,749.0,4.0,146.0," Japanese,  Vegetarian Friendly,  Gluten Free Options,  Bar, American,  Vegan Options"
Amsterdam,750.0,4.5,54.0," Turkish,  Seafood, Greek,  Vegetarian Friendly,  Italian,  Vegan Options"
Amsterdam,755.0,4.0,158.0," Vegetarian Friendly, Dutch,  European,  Gluten Free Options"
Amsterdam,766.0,4.0,151.0," Asian,  Japanese,  Gluten Free Options, Grill,  Vegetarian Friendly"
Amsterdam,768.0,4.0,93.0,"European,  Vegetarian Friendly"
Amsterdam,772.0,4.5,154.0," Vegetarian Friendly,  European,  Mediterranean"
Amsterdam,773.0,4.5,122.0," Vegetarian Friendly, Asian,  Thai"
Amsterdam,774.0,4.0,170.0," Vegetarian Friendly,  European, Mediterranean"
Amsterdam,775.0,4.0,138.0,"Italian,  European,  Gluten Free Options,  Vegetarian Friendly"
Amsterdam,778.0,4.0,188.0,"Asian,  Vegetarian Friendly"
Amsterdam,779.0,4.0,290.0," European, Dutch,  Seafood"
Amsterdam,781.0,4.5,223.0," South American, Peruvian"
Amsterdam,784.0,4.5,38.0," Mediterranean,  Vegetarian Friendly,  Vegan Options,  Seafood,  European, Italian"
Amsterdam,786.0,4.5,79.0," European,  Bar, Dutch,  Pub"
Amsterdam,790.0,4.5,196.0," Vegetarian Friendly, Chinese"
