Index,budget,revenue,original_title,release_year,genres
258,0,0,LEGO DC Comics Super Heroes: Justice League: Attack of the Legion of Doom!,2015,"Adventure, Animation, Action, Family"
260,0,0,Spare Parts,2015,"Family, Action, Drama"
261,0,0,The World Made Straight,2015,Drama
262,0,0,Last Shift,2015,"Horror, Thriller"
263,0,0,Frankenstein,2015,"Horror, Thriller"
264,0,0,Cartel Land,2015,"Documentary, Drama"
265,20000000,0,Superfast!,2015,Comedy
266,0,0,Moonwalkers,2015,Comedy
267,0,0,Chi-Raq,2015,"Music, Crime, Comedy, Drama"
268,5300000,0,Bad Asses on the Bayou,2015,"Comedy, Action"
269,0,13603453,Strange Magic,2015,"Fantasy, Family, Music, Animation"
270,9000000,21571189,Black or White,2015,Drama
271,0,0,Dead Rising,2015,"Horror, Science Fiction"
272,0,0,Deathgasm,2015,"Comedy, Horror"
273,0,0,Justice League: Gods and Monsters,2015,"Fantasy, Animation, Action"
274,13000000,1646788,I Saw the Light,2015,"Music, Drama"
275,0,316472,Good Kill,2015,"Drama, Thriller, Action"
276,0,0,Southbound,2015,"Thriller, Horror, Science Fiction, Fantasy"
277,0,0,Star Trek: Renegades,2015,"Fantasy, Adventure, Action, Science Fiction"
278,0,0,The Boy,2015,"Drama, Thriller, Horror"
279,0,0,Riley's First Date?,2015,"Family, Animation"
280,0,3286448,The Program,2015,Drama
281,0,0,Lila & Eve,2015,"Drama, Thriller"
282,0,0,The Final Girls,2015,"Horror, Comedy"
283,0,0,He Never Died,2015,"Drama, Thriller, Comedy, Horror"
284,0,0,A Very Murray Christmas,2015,"Comedy, Music"
285,0,0,Kill Your Friends,2015,"Crime, Comedy, Thriller"
286,0,0,Battle For SkyArk,2015,"Science Fiction, Adventure, Action, Family"
287,5000000,2333684,Jem and the Holograms,2015,"Drama, Fantasy, Music, Adventure"
288,0,0,The Adderall Diaries,2015,"Drama, Action, Thriller"
289,10000000,0,Grizzly,2015,"Horror, Thriller, Action"
290,0,0,Where to Invade Next,2015,Documentary
291,6000000,90777,Beasts of No Nation,2015,"War, Drama"
292,0,0,A Christmas Horror Story,2015,Horror
293,0,0,Sunset Song,2015,Drama
294,0,4505,Synchronicity,2015,"Thriller, Mystery, Science Fiction"
296,0,0,The Pack,2015,"Thriller, Horror"
297,3000000,3387000,Demonic,2015,"Thriller, Horror"
299,0,0,The Legend of Barney Thomson,2015,"Thriller, Drama, Comedy"
300,1000000,0,The Duke of Burgundy,2015,Drama
301,0,0,88,2015,"Thriller, Action"
302,0,0,The Girl in the Book,2015,Drama
303,0,0,Avengers Grimm,2015,"Adventure, Fantasy, Action"
304,447524,771317,The D Train,2015,"Comedy, Drama"
305,0,0,The Lion Guard: Return of the Roar,2015,"Animation, TV Movie, Family"
306,0,228136,A Royal Night Out,2015,"Thriller, Drama, Romance"
307,0,0,Parallels,2015,"Action, Science Fiction"
308,0,830129,Born to Be Blue,2015,"Music, Drama"
309,1950000,0,The Marine 4: Moving Target,2015,"Action, Thriller"
310,0,0,Tales of Halloween,2015,Horror
311,1000000,0,Blunt Force Trauma,2015,"Action, Adventure"
312,0,0,Operator,2015,"Drama, Action, Thriller"
313,0,0,The Human Centipede 3 (Final Sequence),2015,Horror
314,0,49970,Spring,2015,"Horror, Science Fiction, Romance"
315,0,0,The Intruders,2015,Thriller
316,0,0,We Are Still Here,2015,Horror
317,0,0,Monster High: Haunted,2015,"Animation, Fantasy, Family"
318,0,0,3-Headed Shark Attack,2015,"Science Fiction, Horror, Action"
319,0,0,Navy Seals vs. Zombies,2015,"Horror, Action"
320,0,0,Wrecker,2015,"Thriller, Action, Horror"
321,0,0,The Escort,2015,"Comedy, Romance"
322,0,0,Martyrs,2015,"Thriller, Drama, Horror"
323,0,0,Uncanny,2015,"Thriller, Drama, Science Fiction"
324,0,0,Bad Hair Day,2015,"TV Movie, Comedy, Adventure"
325,5000000,0,Area 51,2015,"Science Fiction, Thriller, Horror"
326,0,0,San Andreas Quake,2015,"TV Movie, Science Fiction, Action"
327,6000000,0,The Runner,2015,Drama
329,0,0,Partisan,2015,"Thriller, Drama"
330,4400000,0,R.L. Stine's Monsterville: The Cabinet of Souls,2015,"Comedy, Horror"
331,10000000,17472,Strangerland,2015,"Drama, Thriller"
332,0,0,Ashby,2015,"Romance, Drama, Comedy"
333,0,0,Beautiful & Twisted,2015,"Thriller, Drama, Crime"
334,0,0,Ronaldo,2015,Documentary
335,0,0,Going Clear: Scientology and the Prison of Belief,2015,Documentary
336,0,0,Zipper,2015,"Thriller, Drama"
337,0,0,War Pigs,2015,"War, Action"
338,0,0,Turbo Kid,2015,"Science Fiction, Adventure, Action, Comedy"
339,0,0,Barbie in Rock 'N Royals,2015,"Family, Animation, Music"
340,0,0,Circle,2015,"Drama, Horror, Thriller, Science Fiction"
341,0,16661077,Monkey Kingdom,2015,"Animation, Documentary"
342,0,0,Joe Dirt 2: Beautiful Loser,2015,Comedy
343,0,0,Minions: The Competition,2015,Animation
344,0,7449681,I'll See You in My Dreams,2015,"Comedy, Drama"
345,0,0,Jesse Stone: Lost in Paradise,2015,"Drama, Crime, Mystery, TV Movie"
346,0,494506,Steve Jobs: The Man in the Machine,2015,Documentary
347,0,0,Babysitter's Black Book,2015,"TV Movie, Drama"
348,0,0,The Ones Below,2015,Thriller
349,0,0,Tremors 5: Bloodlines,2015,"Action, Science Fiction, Horror"
350,2000000,2801508,Captive,2015,"Crime, Thriller, Drama"
351,0,0,Terminus,2015,"Science Fiction, Thriller, Fantasy"
352,0,0,Andron,2015,"Science Fiction, Action"
353,0,0,How to Plan an Orgy in a Small Town,2015,Comedy
354,0,70958,Freaks of Nature,2015,"Horror, Science Fiction, Comedy"
355,0,0,Reversal,2015,"Thriller, Horror"
356,0,0,Batman Unlimited: Monster Mayhem,2015,"Animation, Action, Family"
357,27000000,0,The Lovers,2015,"Adventure, Romance, Action, Science Fiction"
358,0,0,Holding the Man,2015,Drama
359,0,0,Harbinger Down,2015,"Science Fiction, Horror"
360,0,0,Batman Unlimited: Animal Instincts,2015,"Animation, Action, Family"
361,0,0,Entertainment,2015,"Drama, Comedy"
362,0,0,Meadowland,2015,Drama
363,0,643557,The Stanford Prison Experiment,2015,"Drama, Thriller"
364,0,0,The Girl King,2015,"History, Drama, Romance"
365,0,0,Bessie,2015,"TV Movie, Drama, Music"
366,0,0,The Atticus Institute,2015,Horror
367,0,0,The Hoarder,2015,"Horror, Thriller"
368,0,0,I Smile Back,2015,Drama
369,0,0,Oddball,2015,"Family, Adventure"
371,0,0,Sanjay's Super Team,2015,Animation
372,0,3447633,Learning to Drive,2015,"Romance, Comedy, Drama"
373,0,0,Christmas Eve,2015,"Romance, Comedy"
375,0,0,Sharknado 3: Oh Hell No!,2015,"Science Fiction, Horror, TV Movie"
376,0,0,12 Rounds 3: Lockdown,2015,"Thriller, Action"
377,0,0,Hitting the Apex,2015,Documentary
378,0,4444,Club Life,2015,Drama
379,0,0,Cleveland Abduction,2015,"Drama, Crime"
380,5000000,4842699,90 Minutes in Heaven,2015,Drama
381,0,0,Lavalantula,2015,"TV Movie, Science Fiction, Horror"
383,3500000,0,Justice League: Throne of Atlantis,2015,"Action, Animation, Science Fiction, Adventure"
384,0,0,Lady Chatterley's Lover,2015,"Drama, Romance"
385,0,0,The Wicked Within,2015,Horror
386,0,0,Bridgend,2015,Drama
387,0,0,Backcountry,2015,"Thriller, Drama, Horror"
389,500000,0,Ratter,2015,"Drama, Horror, Thriller"
390,0,0,An Inspector Calls,2015,"Mystery, Thriller, Drama"
391,0,0,The Survivalist,2015,"Thriller, Drama, Science Fiction"
392,0,0,Don't Grow Up,2015,Horror
394,0,0,No Stranger Than Love,2015,"Comedy, Romance"
395,0,0,The Hive,2015,"Horror, Science Fiction, Thriller"
396,0,0,Back in Time,2015,"Family, History, Documentary"
397,0,0,Nina Forever,2015,"Romance, Horror, Comedy"
398,0,0,Some Kind Of Hate,2015,Horror
399,1000000,0,The Dead Room,2015,"Thriller, Horror"
400,0,0,Condemned,2015,Horror
402,0,0,The Sand,2015,"Horror, Science Fiction"
403,0,0,Digging for Fire,2015,Drama
405,0,0,From the Dark,2015,Horror
406,20000000,0,My All American,2015,Drama
407,0,0,Hangman,2015,Thriller
408,0,0,Larry Gaye: Renegade Male Flight Attendant,2015,Comedy
409,600000,7087452,Grandma,2015,"Drama, Comedy"
411,0,0,Summer Camp,2015,Horror
412,0,0,Backmask,2015,"Thriller, Horror"
413,0,0,Already Tomorrow in Hong Kong,2015,"Comedy, Romance"
416,0,0,Curve,2015,"Horror, Thriller"
417,7500000,0,Pound of Flesh,2015,Action
418,0,0,Cyberbully,2015,"Thriller, Drama"
419,0,0,Final Girl,2015,"Thriller, Action, Drama"
420,0,2642899,He Named Me Malala,2015,Documentary
421,0,0,The Driftless Area,2015,"Drama, Comedy, Mystery, Romance"
422,0,0,Do You Believe?,2015,"Fantasy, Drama"
423,0,0,7 Days in Hell,2015,"Comedy, TV Movie"
425,0,0,Teen Beach 2,2015,"Comedy, Music"
426,1500000,0,Full Out,2015,"Family, Drama, History"
427,1500000,0,Narcopolis,2015,"Mystery, Science Fiction, Thriller"
428,0,0,Staten Island Summer,2015,Comedy
429,0,0,Safelight,2015,Drama
430,0,0,Bad Roomies,2015,Comedy
431,0,0,Close Range,2015,"Crime, Action"
432,0,0,The Reconstruction of William Zero,2015,"Thriller, Science Fiction, Drama"
433,0,0,Queen of Earth,2015,"Mystery, Drama, Thriller"
436,0,0,"What Happened, Miss Simone?",2015,"Music, Documentary"
438,0,0,The Eichmann Show,2015,Drama
439,0,0,"People, Places, Things",2015,Comedy
441,0,0,Winter on Fire: Ukraine's Fight for Freedom,2015,Documentary
442,0,0,Ava's Possessions,2015,"Horror, Thriller, Mystery, Science Fiction"
444,0,0,Containment,2015,"Science Fiction, Thriller, Horror"
445,0,0,The Exorcism of Molly Hartley,2015,Horror
446,0,0,The Diabolical,2015,"Horror, Science Fiction, Thriller"
447,0,0,Last Cab to Darwin,2015,"Drama, Romance, Comedy"
448,0,0,Intruders,2015,"Thriller, Horror, Drama"
449,0,0,Infini,2015,"Horror, Thriller, Science Fiction"
451,0,0,Muck,2015,Horror
453,0,0,Bravetown,2015,"Music, Drama"
454,0,0,Bite,2015,Horror
455,0,0,Taylor Swift: The 1989 World Tour - Live,2015,"Documentary, Music"
456,0,0,Cosmic Scrat-tastrophe,2015,"Animation, Science Fiction, Family, Comedy"
457,0,0,Ghoul,2015,"Thriller, Horror"
458,0,0,Waffle Street,2015,"Drama, Comedy"
459,0,0,Deep Web,2015,Documentary
460,650000,0,A LEGO Brickumentary,2015,Documentary
461,0,0,Richard Pryor: Omit the Logic,2015,Documentary
462,0,0,Don Verdean,2015,Comedy
463,0,0,The Editor,2015,"Horror, Mystery, Comedy"
464,0,0,Nasty Baby,2015,Drama
465,0,0,Bitter Lake,2015,Documentary
466,0,0,June,2015,"Science Fiction, Horror"
467,0,1100000,The Overnight,2015,"Mystery, Comedy"
468,2500000,0,The Rise of the Krays,2015,Crime
469,0,0,Smosh: The Movie,2015,"Adventure, Action, Comedy"
470,0,0,Keepers of the Covenant: Making Exodus: Gods and Kings,2015,Documentary
472,0,0,The Quiet Hour,2015,"Science Fiction, Thriller, Drama"
474,0,104507,Results,2015,Comedy
475,0,0,Addicted to Fresno,2015,Comedy
